record_type,game_pk,game_date,season,ref,venue,batting_team,fielding_team,home_away_batting,home_away_pitching,day_night,batter,batter_id,bat_side,batter_split,pitcher,pitcher_id,pitch_hand,pitcher_split,men_on_base,event,event_type,rbi,is_out,is_scoring,total_outs,description,pitch_type,pitch_call,speed_mph,spin_rate,break_vertical,break_horizontal,launch_speed,launch_angle,total_distance,trajectory,hardness
pitch,778563,2025-03-18,2025,202503,Tokyo Dome,Los Angeles Dodgers,Chicago Cubs,away,home,night,Shohei Ohtani,660271,L,vs_LHP,Shota Imanaga,684007,L,vs_LHB,Empty,Groundout,field_out,0,True,False,1,"Shohei Ohtani grounds out, second baseman Jon Berti to first baseman Michael Busch.",Four-Seam Fastball,"In play, out(s)",93.1,2664,-12.2,-12.7,76.0,-20.0,9.0,ground_ball,medium
pitch,778563,2025-03-18,2025,202503,Tokyo Dome,Los Angeles Dodgers,Chicago Cubs,away,home,night,Tommy Edman,669242,R,vs_LHP,Shota Imanaga,684007,L,vs_RHB,Empty,Pop Out,field_out,0,True,False,1,Tommy Edman pops out to first baseman Michael Busch.,Four-Seam Fastball,"In play, out(s)",93.7,2583,-13.9,-13.4,72.5,72.0,93.0,popup,medium
pitch,778563,2025-03-18,2025,202503,Tokyo Dome,Los Angeles Dodgers,Chicago Cubs,away,home,night,Teoscar Hernández,606192,R,vs_LHP,Shota Imanaga,684007,L,vs_RHB,Empty,Strikeout,strikeout,0,True,False,1,Teoscar Hernández strikes out swinging.,Splitter,Swinging Strike,84.6,1230,-32.0,-12.4,,,,,
pitch,778563,2025-03-18,2025,202503,Tokyo Dome,Chicago Cubs,Los Angeles Dodgers,home,away,night,Ian Happ,664023,L,vs_RHP,Yoshinobu Yamamoto,808967,R,vs_LHB,Men_On,Walk,walk,0,False,False,0,Ian Happ walks.,Four-Seam Fastball,Ball,98.1,2248,-10.2,9.6,,,,,
pitch,778563,2025-03-18,2025,202503,Tokyo Dome,Chicago Cubs,Los Angeles Dodgers,home,away,night,Seiya Suzuki,673548,R,vs_RHP,Yoshinobu Yamamoto,808967,R,vs_RHB,Men_On,Lineout,field_out,0,True,False,1,Seiya Suzuki lines out to shortstop Miguel Rojas.,Sinker,"In play, out(s)",96.7,2242,-15.1,13.1,55.0,31.0,159.0,line_drive,medium
pitch,778563,2025-03-18,2025,202503,Tokyo Dome,Chicago Cubs,Los Angeles Dodgers,home,away,night,Kyle Tucker,663656,L,vs_RHP,Yoshinobu Yamamoto,808967,R,vs_LHB,RISP,Groundout,field_out,0,True,False,1,"Kyle Tucker grounds out, pitcher Yoshinobu Yamamoto to first baseman Enrique Hernández. Ian Happ to 2nd.",Splitter,"In play, out(s)",92.9,1597,-30.5,16.2,60.7,-62.0,2.0,ground_ball,medium
pitch,778563,2025-03-18,2025,202503,Tokyo Dome,Chicago Cubs,Los Angeles Dodgers,home,away,night,Michael Busch,683737,L,vs_RHP,Yoshinobu Yamamoto,808967,R,vs_LHB,Empty,Lineout,field_out,0,True,False,1,Michael Busch lines out to center fielder Andy Pages.,Four-Seam Fastball,"In play, out(s)",97.3,2145,-14.2,9.0,88.9,24.0,297.0,line_drive,medium
pitch,778563,2025-03-18,2025,202503,Tokyo Dome,Los Angeles Dodgers,Chicago Cubs,away,home,night,Will Smith,669257,R,vs_LHP,Shota Imanaga,684007,L,vs_RHB,Men_On,Walk,walk,0,False,False,0,Will Smith walks.,Four-Seam Fastball,Ball,93.0,2598,-12.2,-13.7,,,,,
pitch,778563,2025-03-18,2025,202503,Tokyo Dome,Los Angeles Dodgers,Chicago Cubs,away,home,night,Max Muncy,571970,L,vs_LHP,Shota Imanaga,684007,L,vs_LHB,RISP,Walk,walk,0,False,False,0,Max Muncy walks. Will Smith to 2nd.,Four-Seam Fastball,Ball,92.6,2544,-14.2,-13.1,,,,,
pitch,778563,2025-03-18,2025,202503,Tokyo Dome,Los Angeles Dodgers,Chicago Cubs,away,home,night,Enrique Hernández,571771,R,vs_LHP,Shota Imanaga,684007,L,vs_RHB,RISP,Pop Out,field_out,0,True,False,1,Enrique Hernández pops out to first baseman Michael Busch on the infield fly rule.,Four-Seam Fastball,"In play, out(s)",92.5,2493,-17.5,-14.6,78.9,64.0,156.0,popup,medium
pitch,778563,2025-03-18,2025,202503,Tokyo Dome,Los Angeles Dodgers,Chicago Cubs,away,home,night,Michael Conforto,624424,L,vs_LHP,Shota Imanaga,684007,L,vs_LHB,RISP,Pop Out,field_out,0,True,False,1,Michael Conforto pops out to third baseman Matt Shaw in foul territory.,Sweeper,"In play, out(s)",82.7,2682,-38.2,11.0,71.4,67.0,120.0,popup,medium
pitch,778563,2025-03-18,2025,202503,Tokyo Dome,Los Angeles Dodgers,Chicago Cubs,away,home,night,Miguel Rojas,500743,R,vs_LHP,Shota Imanaga,684007,L,vs_RHB,Empty,Flyout,field_out,0,True,False,1,Miguel Rojas flies out to left fielder Ian Happ in foul territory.,Splitter,"In play, out(s)",85.1,1362,-30.2,-14.5,,,,fly_ball,medium
pitch,778563,2025-03-18,2025,202503,Tokyo Dome,Chicago Cubs,Los Angeles Dodgers,home,away,night,Matt Shaw,807713,R,vs_RHP,Yoshinobu Yamamoto,808967,R,vs_RHB,Empty,Groundout,field_out,0,True,False,1,"Matt Shaw grounds out, second baseman Tommy Edman to first baseman Enrique Hernández.",Splitter,"In play, out(s)",91.8,1534,-28.4,6.7,80.5,11.0,134.0,ground_ball,medium
pitch,778563,2025-03-18,2025,202503,Tokyo Dome,Chicago Cubs,Los Angeles Dodgers,home,away,night,Dansby Swanson,621020,R,vs_RHP,Yoshinobu Yamamoto,808967,R,vs_RHB,Men_On,Single,single,0,False,False,0,Dansby Swanson singles on a ground ball to center fielder Andy Pages.,Curveball,"In play, no out",78.6,2832,-63.6,-9.8,97.9,8.0,121.0,ground_ball,medium
pitch,778563,2025-03-18,2025,202503,Tokyo Dome,Chicago Cubs,Los Angeles Dodgers,home,away,night,Pete Crow-Armstrong,691718,L,vs_RHP,Yoshinobu Yamamoto,808967,R,vs_LHB,RISP,Groundout,field_out,0,True,False,1,"Pete Crow-Armstrong grounds out, second baseman Tommy Edman to first baseman Enrique Hernández. Dansby Swanson to 2nd.",Splitter,"In play, out(s)",92.7,1489,-30.2,15.4,65.4,-38.0,3.0,ground_ball,medium
pitch,778563,2025-03-18,2025,202503,Tokyo Dome,Chicago Cubs,Los Angeles Dodgers,home,away,night,Miguel Amaya,665804,R,vs_RHP,Yoshinobu Yamamoto,808967,R,vs_RHB,RISP,Double,double,1,False,True,0,Miguel Amaya doubles (1) on a fly ball to center fielder Andy Pages. Dansby Swanson scores.,Four-Seam Fastball,"In play, run(s)",97.5,2206,-12.6,8.4,97.8,23.0,356.0,fly_ball,medium
pitch,778563,2025-03-18,2025,202503,Tokyo Dome,Chicago Cubs,Los Angeles Dodgers,home,away,night,Jon Berti,542932,R,vs_RHP,Yoshinobu Yamamoto,808967,R,vs_RHB,Empty,Strikeout,strikeout,0,True,False,1,Jon Berti called out on strikes.,Splitter,Called Strike,92.2,1401,-30.8,11.4,,,,,
pitch,778563,2025-03-18,2025,202503,Tokyo Dome,Los Angeles Dodgers,Chicago Cubs,away,home,night,Andy Pages,681624,R,vs_LHP,Shota Imanaga,684007,L,vs_RHB,Empty,Strikeout,strikeout,0,True,False,1,Andy Pages strikes out on a foul tip.,Splitter,Foul Tip,83.1,967,-29.8,-10.4,,,,,
