record_type,game_pk,game_date,season,ref,venue,batting_team,fielding_team,home_away_batting,home_away_pitching,day_night,batter,batter_id,bat_side,batter_split,pitcher,pitcher_id,pitch_hand,pitcher_split,men_on_base,event,event_type,rbi,is_out,is_scoring,total_outs,description,pitch_type,pitch_call,speed_mph,spin_rate,break_vertical,break_horizontal,launch_speed,launch_angle,total_distance,trajectory,hardness
pitch,778564,2025-03-19,2025,202503,Tokyo Dome,Los Angeles Dodgers,Chicago Cubs,away,home,night,Shohei Ohtani,660271,L,vs_LHP,Justin Steele,657006,L,vs_LHB,Empty,Flyout,field_out,0,True,False,1,Shohei Ohtani flies out to left fielder Ian Happ.,Four-Seam Fastball,"In play, out(s)",91.6,2374.0,-15.7,-3.5,105.1,41.0,325.0,fly_ball,medium
pitch,778564,2025-03-19,2025,202503,Tokyo Dome,Los Angeles Dodgers,Chicago Cubs,away,home,night,Tommy Edman,669242,R,vs_LHP,Justin Steele,657006,L,vs_RHB,Empty,Strikeout,strikeout,0,True,False,1,Tommy Edman strikes out swinging.,Four-Seam Fastball,Swinging Strike,93.8,2389.0,-15.2,-4.8,,,,,
pitch,778564,2025-03-19,2025,202503,Tokyo Dome,Los Angeles Dodgers,Chicago Cubs,away,home,night,Teoscar Hernández,606192,R,vs_LHP,Justin Steele,657006,L,vs_RHB,Empty,Groundout,field_out,0,True,False,1,"Teoscar Hernández grounds out softly, catcher Carson Kelly to first baseman Michael Busch.",Slider,"In play, out(s)",83.4,2822.0,-36.7,15.1,55.7,-79.0,3.0,ground_ball,soft
pitch,778564,2025-03-19,2025,202503,Tokyo Dome,Chicago Cubs,Los Angeles Dodgers,home,away,night,Ian Happ,664023,L,vs_RHP,Roki Sasaki,808963,R,vs_LHB,Empty,Flyout,field_out,0,True,False,1,Ian Happ flies out to left fielder Michael Conforto.,Four-Seam Fastball,"In play, out(s)",100.0,2135.0,-12.0,12.5,90.9,46.0,277.0,fly_ball,medium
pitch,778564,2025-03-19,2025,202503,Tokyo Dome,Chicago Cubs,Los Angeles Dodgers,home,away,night,Seiya Suzuki,673548,R,vs_RHP,Roki Sasaki,808963,R,vs_RHB,Empty,Strikeout,strikeout,0,True,False,1,Seiya Suzuki strikes out on a foul tip.,Four-Seam Fastball,Foul Tip,99.3,2086.0,-14.8,10.8,,,,,
pitch,778564,2025-03-19,2025,202503,Tokyo Dome,Chicago Cubs,Los Angeles Dodgers,home,away,night,Kyle Tucker,663656,L,vs_RHP,Roki Sasaki,808963,R,vs_LHB,Empty,Flyout,field_out,0,True,False,1,Kyle Tucker flies out to center fielder Andy Pages.,Four-Seam Fastball,"In play, out(s)",99.2,2010.0,-13.8,8.3,99.0,46.0,323.0,fly_ball,medium
pitch,778564,2025-03-19,2025,202503,Tokyo Dome,Los Angeles Dodgers,Chicago Cubs,away,home,night,Will Smith,669257,R,vs_LHP,Justin Steele,657006,L,vs_RHB,Men_On,Walk,walk,0,False,False,0,Will Smith walks.,Slider,Ball,81.3,2833.0,-43.6,13.4,,,,,
pitch,778564,2025-03-19,2025,202503,Tokyo Dome,Los Angeles Dodgers,Chicago Cubs,away,home,night,Max Muncy,571970,L,vs_LHP,Justin Steele,657006,L,vs_LHB,RISP,Double,double,0,False,False,0,Max Muncy doubles (1) on a sharp fly ball to right fielder Kyle Tucker. Will Smith to 3rd.,Slider,"In play, no out",81.6,2799.0,-44.0,13.7,104.6,23.0,321.0,fly_ball,hard
pitch,778564,2025-03-19,2025,202503,Tokyo Dome,Los Angeles Dodgers,Chicago Cubs,away,home,night,Enrique Hernández,571771,R,vs_LHP,Justin Steele,657006,L,vs_RHB,Empty,Sac Fly,sac_fly,1,True,True,1,Enrique Hernández out on a sacrifice fly to center fielder Pete Crow-Armstrong. Max Muncy scores.,Four-Seam Fastball,"In play, run(s)",90.3,2400.0,-20.6,2.0,87.9,25.0,323.0,line_drive,medium
pitch,778564,2025-03-19,2025,202503,Tokyo Dome,Los Angeles Dodgers,Chicago Cubs,away,home,night,Michael Conforto,624424,L,vs_LHP,Justin Steele,657006,L,vs_LHB,Men_On,Single,single,0,False,False,0,Michael Conforto singles on a ground ball to center fielder Pete Crow-Armstrong.,Slider,"In play, no out",83.1,2821.0,-42.5,11.4,80.9,9.0,109.0,ground_ball,medium
pitch,778564,2025-03-19,2025,202503,Tokyo Dome,Los Angeles Dodgers,Chicago Cubs,away,home,night,Miguel Rojas,500743,R,vs_LHP,Justin Steele,657006,L,vs_RHB,Empty,Grounded Into DP,grounded_into_double_play,0,True,False,2,"Miguel Rojas grounds into a double play, second baseman Jon Berti to shortstop Dansby Swanson to first baseman Michael Busch. Michael Conforto out at 2nd. Miguel Rojas out at 1st.",Four-Seam Fastball,"In play, out(s)",91.6,2430.0,-23.4,1.3,69.0,-1.0,35.0,ground_ball,medium
pitch,778564,2025-03-19,2025,202503,Tokyo Dome,Chicago Cubs,Los Angeles Dodgers,home,away,night,Michael Busch,683737,L,vs_RHP,Roki Sasaki,808963,R,vs_LHB,Men_On,Walk,walk,0,False,False,0,Michael Busch walks.,Four-Seam Fastball,Ball,97.8,2095.0,-15.5,10.6,,,,,
pitch,778564,2025-03-19,2025,202503,Tokyo Dome,Chicago Cubs,Los Angeles Dodgers,home,away,night,Matt Shaw,807713,R,vs_RHP,Roki Sasaki,808963,R,vs_RHB,Men_On,Lineout,field_out,0,True,False,1,Matt Shaw lines out to shortstop Miguel Rojas.,Forkball,"In play, out(s)",84.8,462.0,-46.6,-1.3,51.8,28.0,143.0,line_drive,medium
pitch,778564,2025-03-19,2025,202503,Tokyo Dome,Chicago Cubs,Los Angeles Dodgers,home,away,night,Dansby Swanson,621020,R,vs_RHP,Roki Sasaki,808963,R,vs_RHB,RISP,Walk,walk,0,False,False,0,Dansby Swanson walks.,Forkball,Ball,85.2,659.0,-41.3,-4.6,,,,,
pitch,778564,2025-03-19,2025,202503,Tokyo Dome,Chicago Cubs,Los Angeles Dodgers,home,away,night,Pete Crow-Armstrong,691718,L,vs_RHP,Roki Sasaki,808963,R,vs_LHB,Empty,Double Play,double_play,0,True,False,2,"Pete Crow-Armstrong lines into an unassisted double play, shortstop Miguel Rojas. Michael Busch out at 2nd.",Four-Seam Fastball,"In play, out(s)",98.0,1950.0,-18.0,10.4,91.9,8.0,159.0,line_drive,medium
pitch,778564,2025-03-19,2025,202503,Tokyo Dome,Los Angeles Dodgers,Chicago Cubs,away,home,night,Andy Pages,681624,R,vs_LHP,Justin Steele,657006,L,vs_RHB,Empty,Strikeout,strikeout,0,True,False,1,Andy Pages called out on strikes.,Slider,Called Strike,82.7,2620.0,-42.8,12.4,,,,,
pitch,778564,2025-03-19,2025,202503,Tokyo Dome,Los Angeles Dodgers,Chicago Cubs,away,home,night,Shohei Ohtani,660271,L,vs_LHP,Justin Steele,657006,L,vs_LHB,Empty,Groundout,field_out,0,True,False,1,Shohei Ohtani grounds out to first baseman Michael Busch.,Slider,"In play, out(s)",83.8,2689.0,-38.8,11.8,89.9,-1.0,38.0,ground_ball,medium
pitch,778564,2025-03-19,2025,202503,Tokyo Dome,Los Angeles Dodgers,Chicago Cubs,away,home,night,Tommy Edman,669242,R,vs_LHP,Justin Steele,657006,L,vs_RHB,Empty,Home Run,home_run,1,False,True,0,Tommy Edman homers (1) on a fly ball to left field.,Four-Seam Fastball,"In play, run(s)",90.1,2228.0,-20.8,1.8,108.1,37.0,379.0,fly_ball,medium
pitch,778564,2025-03-19,2025,202503,Tokyo Dome,Los Angeles Dodgers,Chicago Cubs,away,home,night,Teoscar Hernández,606192,R,vs_LHP,Justin Steele,657006,L,vs_RHB,Empty,Strikeout,strikeout,0,True,False,1,Teoscar Hernández strikes out swinging.,Four-Seam Fastball,Swinging Strike,91.3,2334.0,-20.0,2.2,,,,,
pitch,778564,2025-03-19,2025,202503,Tokyo Dome,Chicago Cubs,Los Angeles Dodgers,home,away,night,Carson Kelly,608348,R,vs_RHP,Roki Sasaki,808963,R,vs_RHB,Empty,Groundout,field_out,0,True,False,1,Carson Kelly grounds out to first baseman Enrique Hernández.,Four-Seam Fastball,"In play, out(s)",95.7,1891.0,-15.2,7.1,84.1,-32.0,4.0,ground_ball,medium
pitch,778564,2025-03-19,2025,202503,Tokyo Dome,Chicago Cubs,Los Angeles Dodgers,home,away,night,Jon Berti,542932,R,vs_RHP,Roki Sasaki,808963,R,vs_RHB,Men_On,Single,single,0,False,False,0,Jon Berti singles on a soft ground ball to third baseman Max Muncy.,Four-Seam Fastball,"In play, no out",97.1,2093.0,-15.2,11.6,73.2,-61.0,1.0,ground_ball,soft
