record_type,game_pk,game_date,season,ref,venue,batting_team,fielding_team,home_away_batting,home_away_pitching,day_night,batter,batter_id,bat_side,batter_split,pitcher,pitcher_id,pitch_hand,pitcher_split,men_on_base,event,event_type,rbi,is_out,is_scoring,total_outs,description,pitch_type,pitch_call,speed_mph,spin_rate,break_vertical,break_horizontal,launch_speed,launch_angle,total_distance,trajectory,hardness
pitch,778506,2025-03-31,2025,202503,Rate Field,Minnesota Twins,Chicago White Sox,away,home,day,Byron Buxton,621439,R,vs_LHP,Martín Pérez,527048,L,vs_RHB,Empty,Groundout,field_out,0,True,False,1,"Byron Buxton grounds out, shortstop Jacob Amaya to first baseman Andrew Vaughn.",Sinker,"In play, out(s)",87.8,1943.0,-25.9,-16.7,67.6,-15.0,9.0,ground_ball,medium
pitch,778506,2025-03-31,2025,202503,Rate Field,Minnesota Twins,Chicago White Sox,away,home,day,Carlos Correa,621043,R,vs_LHP,Martín Pérez,527048,L,vs_RHB,Empty,Lineout,field_out,0,True,False,1,Carlos Correa lines out sharply to shortstop Jacob Amaya.,Changeup,"In play, out(s)",80.5,1543.0,-35.9,-15.7,100.7,12.0,176.0,line_drive,hard
pitch,778506,2025-03-31,2025,202503,Rate Field,Minnesota Twins,Chicago White Sox,away,home,day,Ryan Jeffers,680777,R,vs_LHP,Martín Pérez,527048,L,vs_RHB,Empty,Flyout,field_out,0,True,False,1,Ryan Jeffers flies out sharply to left fielder Michael A. Taylor.,Sinker,"In play, out(s)",88.6,1997.0,-23.6,-16.1,101.2,38.0,367.0,fly_ball,hard
pitch,778506,2025-03-31,2025,202503,Rate Field,Chicago White Sox,Minnesota Twins,home,away,day,Miguel Vargas,678246,R,vs_RHP,Chris Paddack,663978,R,vs_RHB,Men_On,Single,single,0,False,False,0,Miguel Vargas singles on a line drive to center fielder Byron Buxton.,Four-Seam Fastball,"In play, no out",96.5,2328.0,-10.8,10.0,98.8,9.0,160.0,line_drive,medium
pitch,778506,2025-03-31,2025,202503,Rate Field,Chicago White Sox,Minnesota Twins,home,away,day,Luis Robert Jr.,673357,R,vs_RHP,Chris Paddack,663978,R,vs_RHB,RISP,Walk,walk,0,False,False,0,Luis Robert Jr. walks.,Four-Seam Fastball,Ball,95.0,2236.0,-9.4,7.0,,,,,
pitch,778506,2025-03-31,2025,202503,Rate Field,Chicago White Sox,Minnesota Twins,home,away,day,Andrew Benintendi,643217,L,vs_RHP,Chris Paddack,663978,R,vs_LHB,RISP,Groundout,field_out,0,True,False,1,"Andrew Benintendi grounds out, second baseman Mickey Gasper to first baseman Ty France. Miguel Vargas to 3rd. Luis Robert Jr. to 2nd.",Changeup,"In play, out(s)",84.2,1654.0,-34.0,16.4,71.0,4.0,38.0,ground_ball,medium
pitch,778506,2025-03-31,2025,202503,Rate Field,Chicago White Sox,Minnesota Twins,home,away,day,Andrew Vaughn,683734,R,vs_RHP,Chris Paddack,663978,R,vs_RHB,Empty,Home Run,home_run,3,False,True,0,Andrew Vaughn homers (1) on a line drive to left center field. Miguel Vargas scores. Luis Robert Jr. scores.,Cutter,"In play, run(s)",87.8,2030.0,-23.8,-1.2,108.5,19.0,371.0,line_drive,medium
pitch,778506,2025-03-31,2025,202503,Rate Field,Chicago White Sox,Minnesota Twins,home,away,day,Matt Thaiss,642136,L,vs_RHP,Chris Paddack,663978,R,vs_LHB,Empty,Strikeout,strikeout,0,True,False,1,Matt Thaiss strikes out swinging.,Four-Seam Fastball,Swinging Strike,93.9,2229.0,-10.7,9.0,,,,,
pitch,778506,2025-03-31,2025,202503,Rate Field,Chicago White Sox,Minnesota Twins,home,away,day,Lenyn Sosa,672820,R,vs_RHP,Chris Paddack,663978,R,vs_RHB,Empty,Strikeout,strikeout,0,True,False,1,Lenyn Sosa called out on strikes.,Four-Seam Fastball,Called Strike,95.0,2234.0,-8.0,7.6,,,,,
pitch,778506,2025-03-31,2025,202503,Rate Field,Minnesota Twins,Chicago White Sox,away,home,day,Ty France,664034,R,vs_LHP,Martín Pérez,527048,L,vs_RHB,Empty,Groundout,field_out,0,True,False,1,"Ty France grounds out, third baseman Miguel Vargas to first baseman Andrew Vaughn.",Cutter,"In play, out(s)",85.6,2234.0,-24.5,0.7,103.2,7.0,123.0,ground_ball,medium
